Starting Final Training and Testing
Initial Number of Parameters: 937186
Epoch 0: Acc: 68.23406478578892, F1: 0.6067242852667644, Precision: 0.6883122711280949, Recall: 0.6823406478578893
Epoch 1: Acc: 88.50574712643679, F1: 0.8761792851188361, Precision: 0.8894653764830578, Recall: 0.8850574712643678
Epoch 2: Acc: 93.20794148380355, F1: 0.9199591565152444, Precision: 0.9242360500777572, Recall: 0.9320794148380356
Epoch 3: Acc: 94.04388714733543, F1: 0.9328196623568304, Precision: 0.9325786930377035, Recall: 0.9404388714733543
Epoch 4: Acc: 95.19331243469175, F1: 0.9447278873546672, Precision: 0.9428923647339802, Recall: 0.9519331243469175
Epoch 5: Acc: 95.5067920585162, F1: 0.9485196956967532, Precision: 0.9463935716321504, Recall: 0.955067920585162
Epoch 6: Acc: 93.62591431556949, F1: 0.9337634338581289, Precision: 0.9393184577075905, Recall: 0.9362591431556949
Epoch 7: Acc: 87.35632183908046, F1: 0.8926328491585211, Precision: 0.9346604492722873, Recall: 0.8735632183908046
Epoch 8: Acc: 96.34273772204807, F1: 0.9573454866337553, Precision: 0.955162142020056, Recall: 0.9634273772204807
Epoch 9: Acc: 96.1337513061651, F1: 0.9556009499830902, Precision: 0.953060952571872, Recall: 0.9613375130616509
Epoch 10: Acc: 96.76071055381401, F1: 0.961077041912126, Precision: 0.9577490200011487, Recall: 0.96760710553814
Epoch 11: Acc: 92.99895506792059, F1: 0.9266228579298643, Precision: 0.9399422379209427, Recall: 0.9299895506792059
Epoch 12: Acc: 96.86520376175548, F1: 0.9629569256669577, Precision: 0.959517959732683, Recall: 0.9686520376175548
Epoch 13: Acc: 96.1337513061651, F1: 0.9544031691544538, Precision: 0.9509765588527345, Recall: 0.9613375130616509
Epoch 14: Acc: 96.1337513061651, F1: 0.9555730475530319, Precision: 0.9518349712513059, Recall: 0.9613375130616509
Epoch 15: Acc: 96.76071055381401, F1: 0.9611959318178306, Precision: 0.9602372535072853, Recall: 0.96760710553814
Epoch 16: Acc: 96.65621734587252, F1: 0.960566830418205, Precision: 0.9560680909992796, Recall: 0.9665621734587252
Epoch 17: Acc: 96.55172413793103, F1: 0.959139571506059, Precision: 0.9575825932822056, Recall: 0.9655172413793104
Epoch 18: Acc: 94.56635318704284, F1: 0.9436381242496548, Precision: 0.9498056021456194, Recall: 0.9456635318704284
Epoch 19: Acc: 95.92476489028213, F1: 0.9520029494343375, Precision: 0.9570077919055344, Recall: 0.9592476489028213
Epoch 20: Acc: 96.65621734587252, F1: 0.9609155700266357, Precision: 0.9572549807184424, Recall: 0.9665621734587252
Epoch 21: Acc: 96.65621734587252, F1: 0.961033378335119, Precision: 0.9581444364412061, Recall: 0.9665621734587252
Epoch 22: Acc: 97.4921630094044, F1: 0.9690916817944546, Precision: 0.9643197615734653, Recall: 0.9749216300940439
Epoch 23: Acc: 96.65621734587252, F1: 0.9596045091799674, Precision: 0.9552880151024611, Recall: 0.9665621734587252
Epoch 24: Acc: 89.0282131661442, F1: 0.8767165438232297, Precision: 0.8989210236411233, Recall: 0.890282131661442
Epoch 25: Acc: 96.86520376175548, F1: 0.962371783085084, Precision: 0.9611073541712389, Recall: 0.9686520376175548
Epoch 26: Acc: 97.17868338557994, F1: 0.9658988832642326, Precision: 0.9616268188803568, Recall: 0.9717868338557993
Epoch 27: Acc: 95.92476489028213, F1: 0.9534477843610727, Precision: 0.9500265853437636, Recall: 0.9592476489028213
Epoch 28: Acc: 96.65621734587252, F1: 0.9596577547639522, Precision: 0.9574186491283865, Recall: 0.9665621734587252
Epoch 29: Acc: 97.07419017763846, F1: 0.9650334980317452, Precision: 0.9612293455020398, Recall: 0.9707419017763845
Epoch 30: Acc: 96.86520376175548, F1: 0.96236488558072, Precision: 0.9587399509216302, Recall: 0.9686520376175548
Epoch 31: Acc: 96.55172413793103, F1: 0.9573216592131347, Precision: 0.9585531463240914, Recall: 0.9655172413793104
Epoch 32: Acc: 97.28317659352142, F1: 0.9667840882528327, Precision: 0.962982319329446, Recall: 0.9728317659352143
Epoch 33: Acc: 96.65621734587252, F1: 0.9598365244002003, Precision: 0.9579535663641916, Recall: 0.9665621734587252
Epoch 34: Acc: 97.4921630094044, F1: 0.9690435670476873, Precision: 0.9640970238007525, Recall: 0.9749216300940439
Epoch 35: Acc: 96.65621734587252, F1: 0.9601928604954397, Precision: 0.9578009943725391, Recall: 0.9665621734587252
Epoch 36: Acc: 96.34273772204807, F1: 0.9572672374532681, Precision: 0.9538444624246113, Recall: 0.9634273772204807
Epoch 37: Acc: 97.07419017763846, F1: 0.9646464376559813, Precision: 0.9604926408639243, Recall: 0.9707419017763845
Epoch 38: Acc: 97.4921630094044, F1: 0.9691105070285474, Precision: 0.9648649750652888, Recall: 0.9749216300940439
Epoch 39: Acc: 92.99895506792059, F1: 0.9249127465945289, Precision: 0.9302279492036201, Recall: 0.9299895506792059
Epoch 40: Acc: 97.59665621734587, F1: 0.9699785745171589, Precision: 0.9658449903844495, Recall: 0.9759665621734587
Epoch 41: Acc: 97.17868338557994, F1: 0.9660044896106927, Precision: 0.9619997638680214, Recall: 0.9717868338557993
Epoch 42: Acc: 92.68547544409613, F1: 0.9177906742873269, Precision: 0.9257188622531077, Recall: 0.9268547544409613
Epoch 43: Acc: 96.86520376175548, F1: 0.9629348380343961, Precision: 0.9617125440196818, Recall: 0.9686520376175548
Epoch 44: Acc: 97.17868338557994, F1: 0.9660356611399912, Precision: 0.9621319878884856, Recall: 0.9717868338557993
Epoch 45: Acc: 97.4921630094044, F1: 0.9694950734071989, Precision: 0.9654030382313299, Recall: 0.9749216300940439
Epoch 46: Acc: 97.07419017763846, F1: 0.965039004982031, Precision: 0.9608356757325688, Recall: 0.9707419017763845
Epoch 47: Acc: 97.59665621734587, F1: 0.9700906040695509, Precision: 0.9653091647094646, Recall: 0.9759665621734587
Epoch 48: Acc: 96.96969696969697, F1: 0.963963071696264, Precision: 0.9599891825990315, Recall: 0.9696969696969697
Epoch 49: Acc: 97.59665621734587, F1: 0.9699344312189163, Precision: 0.9648469065304766, Recall: 0.9759665621734587
Number of trainable parameters: 937186
Total number of parameters: 937186

